Date, Open, High, Low, Close
04/09/20, 5229.1, 5387.3, 5229.1, 5387.3
04/08/20, 5235.8, 5321.0, 5121.9, 5206.9
04/07/20, 5306.8, 5423.1, 5187.0, 5252.3
04/06/20, 5077.8, 5302.2, 5076.9, 5286.8
04/03/20, 5181.0, 5246.8, 5022.4, 5067.5
04/02/20, 5227.7, 5227.8, 5065.2, 5154.3
04/01/20, 5111.1, 5272.3, 5110.5, 5258.6
03/31/20, 5196.1, 5366.4, 5005.8, 5076.8
03/30/20, 4833.1, 5181.4, 4833.1, 5181.4
03/27/20, 5142.8, 5236.7, 4842.4, 4842.4
03/26/20, 5012.2, 5174.4, 5008.6, 5113.3
03/25/20, 4813.0, 5024.5, 4796.8, 4998.1
03/24/20, 4556.2, 4735.7, 4556.2, 4735.7
03/23/20, 4753.9, 4761.0, 4402.5, 4546.0
03/20/20, 4818.4, 5016.1, 4795.6, 4816.6
03/19/20, 4976.7, 5102.5, 4741.0, 4782.9
03/18/20, 5278.3, 5280.2, 4888.1, 4953.2
03/17/20, 4999.2, 5303.7, 4997.3, 5293.4
03/16/20, 5468.8, 5468.8, 5002.0, 5002.0
03/13/20, 5242.9, 5539.3, 4873.7, 5539.3
03/12/20, 5703.8, 5706.2, 5290.0, 5304.6
03/11/20, 5934.0, 5972.5, 5725.9, 5725.9
03/10/20, 5726.4, 5939.6, 5538.9, 5939.6
03/09/20, 6131.6, 6132.6, 5760.6, 5760.6
03/06/20, 6369.4, 6369.6, 6216.2, 6216.2
03/05/20, 6350.8, 6447.1, 6350.0, 6395.7
03/04/20, 6417.1, 6418.2, 6310.2, 6325.4
03/03/20, 6419.6, 6524.3, 6419.6, 6435.7
03/02/20, 6438.9, 6438.9, 6245.2, 6391.5
02/28/20, 6616.4, 6616.4, 6426.8, 6441.2
02/27/20, 6709.3, 6728.2, 6630.5, 6657.9
02/26/20, 6836.5, 6839.5, 6690.1, 6708.1
02/25/20, 6947.9, 6947.9, 6800.0, 6866.6
02/24/20, 7120.9, 7120.9, 6967.9, 6978.3
02/21/20, 7162.1, 7162.6, 7135.7, 7139.0
02/20/20, 7149.5, 7197.2, 7146.1, 7162.5
02/19/20, 7113.8, 7144.6, 7102.9, 7144.6
02/18/20, 7121.1, 7121.1, 7096.8, 7113.7
02/17/20, 7133.2, 7137.4, 7104.4, 7125.1
02/14/20, 7104.7, 7138.4, 7101.1, 7130.2
02/13/20, 7098.7, 7145.8, 7086.8, 7103.2
02/12/20, 7057.6, 7098.6, 7055.1, 7088.2
02/11/20, 7017.2, 7070.2, 7017.2, 7055.3
02/10/20, 7018.6, 7024.4, 6982.6, 7012.5
02/07/20, 7045.2, 7051.6, 7002.0, 7022.6
02/06/20, 6987.9, 7050.0, 6987.9, 7049.2
02/05/20, 6965.3, 7009.3, 6962.9, 6976.1
02/04/20, 6921.4, 6963.3, 6915.0, 6948.7
02/03/20, 6983.7, 6984.6, 6897.0, 6923.3
01/31/20, 7017.8, 7046.7, 7009.9, 7017.2
01/30/20, 7031.3, 7038.2, 6993.0, 7008.4
01/29/20, 7005.6, 7046.8, 7005.2, 7031.5
01/28/20, 7051.2, 7051.4, 6964.7, 6994.5
01/24/20, 7085.7, 7122.7, 7085.7, 7090.5
01/23/20, 7130.7, 7130.9, 7068.8, 7088.0
01/22/20, 7062.6, 7144.9, 7062.2, 7132.7
01/21/20, 7074.9, 7074.9, 7040.7, 7066.3
01/20/20, 7071.3, 7092.5, 7071.3, 7079.5
01/17/20, 7051.1, 7088.1, 7050.4, 7064.1
01/16/20, 6998.9, 7041.8, 6995.5, 7041.8
01/15/20, 6965.5, 6996.8, 6960.4, 6994.8
01/14/20, 6910.6, 6962.8, 6910.6, 6962.2
01/13/20, 6917.6, 6918.5, 6880.7, 6903.7
01/10/20, 6875.1, 6933.2, 6875.0, 6929.0
01/09/20, 6828.3, 6889.2, 6826.0, 6874.2
01/08/20, 6827.5, 6831.7, 6749.6, 6817.6
01/07/20, 6741.6, 6834.3, 6741.0, 6826.4
01/06/20, 6733.1, 6738.6, 6671.7, 6735.7
